ID Transaksi;Tanggal;ID Klien;Nama PT;Kota;Provinsi;Salesperson;Produk;Kategori Produk;Qty;Harga Satuan (Rp);Total Penjualan (Rp);Status Transaksi;Bulan;Kuartal
TRX-0019;06/07/2023;KL-005;PT Global Teknindo;Medan;Sumatera Utara;Eko Prasetyo;Cloud Storage 1TB;Layanan Cloud;7;5000000;35000000;Pending;7;Q3
TRX-0020;22/07/2023;KL-011;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Citra Dewi;VPN Enterprise;Layanan Cloud;17;4000000;68000000;Selesai;7;Q3
TRX-0021;11/07/2023;KL-001;PT Maju Bersama;Surabaya;Jawa Timur;Eko Prasetyo;Server Rack;Hardware;19;10000000;190000000;Selesai;7;Q3
TRX-0022;03/08/2023;KL-015;PT Harapan Bangsa;Palembang;Sumatera Selatan;Andi Wijaya;Jasa Konsultasi IT;Jasa;3;11000000;33000000;Selesai;8;Q3
TRX-0023;18/08/2023;KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Fitri Handayani;VPN Enterprise;Layanan Cloud;8;2000000;16000000;Selesai;8;Q3
TRX-0024;22/08/2023;KL-007;PT Delta Solusi;Surabaya;Jawa Timur;Citra Dewi;Cloud Storage 1TB;Layanan Cloud;14;2000000;28000000;Selesai;8;Q3
TRX-0025;13/09/2023;KL-012;PT Anugerah Teknik;Surabaya;Jawa Timur;Citra Dewi;Software CRM;Software;8;17000000;136000000;Selesai;9;Q3
TRX-0026;14/09/2023;KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Citra Dewi;VPN Enterprise;Layanan Cloud;8;2000000;16000000;Selesai;9;Q3
TRX-0027;21/09/2023;KL-009;PT Indo Perkasa;Jakarta;DKI Jakarta;Andi Wijaya;Software CRM;Software;8;15000000;120000000;Selesai;9;Q3
TRX-0028;28/10/2023;KL-007;PT Delta Solusi;Surabaya;Jawa Timur;Andi Wijaya;Laptop Bisnis;Hardware;13;59000000;767000000;Selesai;10;Q4
TRX-0029;14/10/2023;KL-012;PT Anugerah Teknik;Surabaya;Jawa Timur;Fitri Handayani;VPN Enterprise;Layanan Cloud;5;1000000;5000000;Dibatalkan;10;Q4
TRX-0030;24/10/2023;KL-009;PT Indo Perkasa;Jakarta;DKI Jakarta;Andi Wijaya;Jasa Konsultasi IT;Jasa;2;19000000;38000000;Selesai;10;Q4
TRX-0031;02/11/2023;KL-009;PT Indo Perkasa;Jakarta;DKI Jakarta;Andi Wijaya;Laptop Bisnis;Hardware;3;18000000;54000000;Pending;11;Q4
TRX-0032;04/11/2023;KL-015;PT Harapan Bangsa;Palembang;Sumatera Selatan;Eko Prasetyo;Server Rack;Hardware;19;15000000;285000000;Pending;11;Q4
TRX-0033;22/11/2023;KL-010;PT Cahaya Baru;Denpasar;Bali;Eko Prasetyo;Jasa Konsultasi IT;Jasa;9;10000000;90000000;Pending;11;Q4
TRX-0034;05/12/2023;KL-011;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Fitri Handayani;Jasa Implementasi;Jasa;15;3000000;45000000;Dibatalkan;12;Q4
TRX-0035;19/12/2023;KL-002;PT Nusantara Jaya;Jakarta;DKI Jakarta;Andi Wijaya;Server Rack;Hardware;17;26000000;442000000;Selesai;12;Q4
TRX-0036;12/12/2023;KL-005;PT Global Teknindo;Medan;Sumatera Utara;Budi Santoso;VPN Enterprise;Layanan Cloud;18;9000000;162000000;Selesai;12;Q4
TRX-0037;22/01/2024;KL-014;PT Mega Solusi;Jakarta;DKI Jakarta;Eko Prasetyo;Jasa Implementasi;Jasa;4;6000000;24000000;Dibatalkan;1;Q1
TRX-0038;05/01/2024;KL-005;PT Global Teknindo;Medan;Sumatera Utara;Citra Dewi;Server Rack;Hardware;11;43000000;473000000;Selesai;1;Q1
TRX-0039;28/01/2024;KL-001;PT Maju Bersama;Surabaya;Jawa Timur;Andi Wijaya;Cloud Storage 1TB;Layanan Cloud;9;3000000;27000000;Selesai;1;Q1
TRX-0040;06/02/2024;KL-012;PT Anugerah Teknik;Surabaya;Jawa Timur;Dian Pertiwi;Cloud Storage 1TB;Layanan Cloud;18;3000000;54000000;Dibatalkan;2;Q1
TRX-0041;02/02/2024;KL-014;PT Mega Solusi;Jakarta;DKI Jakarta;Citra Dewi;Laptop Bisnis;Hardware;14;15000000;210000000;Selesai;2;Q1
TRX-0042;12/02/2024;KL-004;PT Karya Utama;Semarang;Jawa Tengah;Fitri Handayani;Server Rack;Hardware;4;62000000;248000000;Selesai;2;Q1
TRX-0043;28/03/2024;KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Budi Santoso;Cloud Storage 1TB;Layanan Cloud;1;4000000;4000000;Selesai;3;Q1
TRX-0044;06/03/2024;KL-013;PT Sumber Rezeki;Bandung;Jawa Barat;Fitri Handayani;Software CRM;Software;13;7000000;91000000;Pending;3;Q1
TRX-0045;12/03/2024;KL-005;PT Global Teknindo;Medan;Sumatera Utara;Budi Santoso;Server Rack;Hardware;1;34000000;34000000;Selesai;3;Q1
TRX-0046;28/04/2024;KL-002;PT Nusantara Jaya;Jakarta;DKI Jakarta;Citra Dewi;Jasa Konsultasi IT;Jasa;17;13000000;221000000;Selesai;4;Q2
TRX-0047;09/04/2024;KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Eko Prasetyo;Jasa Implementasi;Jasa;2;14000000;28000000;Pending;4;Q2
TRX-0048;20/04/2024;KL-009;PT Indo Perkasa;Jakarta;DKI Jakarta;Andi Wijaya;Cloud Storage 1TB;Layanan Cloud;19;7000000;133000000;Selesai;4;Q2
TRX-0049;17/05/2024;KL-015;PT Harapan Bangsa;Palembang;Sumatera Selatan;Eko Prasetyo;Server Rack;Hardware;12;18000000;216000000;Dibatalkan;5;Q2
TRX-0050;11/05/2024;KL-011;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Andi Wijaya;Jasa Implementasi;Jasa;17;13000000;221000000;Selesai;5;Q2
TRX-0051;18/05/2024;KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Budi Santoso;Cloud Storage 1TB;Layanan Cloud;13;10000000;130000000;Selesai;5;Q2
TRX-0052;13/06/2024;KL-009;PT Indo Perkasa;Jakarta;DKI Jakarta;Andi Wijaya;Jasa Implementasi;Jasa;10;21000000;210000000;Selesai;6;Q2
TRX-0053;15/06/2024;KL-008;PT Cipta Mandiri;Yogyakarta;DI Yogyakarta;Dian Pertiwi;Server Rack;Hardware;17;31000000;527000000;Selesai;6;Q2
TRX-0054;17/06/2024;KL-011;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Fitri Handayani;Jasa Konsultasi IT;Jasa;3;10000000;30000000;Selesai;6;Q2
TRX-0055;01/07/2024;KL-001;PT Maju Bersama;Surabaya;Jawa Timur;Budi Santoso;VPN Enterprise;Layanan Cloud;20;10000000;200000000;Selesai;7;Q3
TRX-0056;23/07/2024;KL-012;PT Anugerah Teknik;Surabaya;Jawa Timur;Dian Pertiwi;VPN Enterprise;Layanan Cloud;13;1000000;13000000;Selesai;7;Q3
TRX-0057;25/07/2024;KL-007;PT Delta Solusi;Surabaya;Jawa Timur;Budi Santoso;Laptop Bisnis;Hardware;17;16000000;272000000;Selesai;7;Q3
TRX-0058;15/08/2024;KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Dian Pertiwi;Jasa Konsultasi IT;Jasa;15;16000000;240000000;Pending;8;Q3
TRX-0059;06/08/2024;KL-012;PT Anugerah Teknik;Surabaya;Jawa Timur;Dian Pertiwi;VPN Enterprise;Layanan Cloud;9;8000000;72000000;Selesai;8;Q3
TRX-0060;09/08/2024;KL-008;PT Cipta Mandiri;Yogyakarta;DI Yogyakarta;Andi Wijaya;Jasa Implementasi;Jasa;8;13000000;104000000;Selesai;8;Q3
TRX-0061;05/09/2024;KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Budi Santoso;Cloud Storage 1TB;Layanan Cloud;5;7000000;35000000;Pending;9;Q3
TRX-0062;11/09/2024;KL-009;PT Indo Perkasa;Jakarta;DKI Jakarta;Dian Pertiwi;Cloud Storage 1TB;Layanan Cloud;2;10000000;20000000;Selesai;9;Q3
TRX-0063;28/09/2024;KL-015;PT Harapan Bangsa;Palembang;Sumatera Selatan;Eko Prasetyo;Cloud Storage 1TB;Layanan Cloud;16;7000000;112000000;Pending;9;Q3
TRX-0064;18/10/2024;KL-012;PT Anugerah Teknik;Surabaya;Jawa Timur;Fitri Handayani;Server Rack;Hardware;16;44000000;704000000;Selesai;10;Q4
TRX-0065;13/10/2024;KL-006;PT Prima Sejahtera;Makassar;Sulawesi Selatan;Fitri Handayani;Cloud Storage 1TB;Layanan Cloud;6;9000000;54000000;Selesai;10;Q4
TRX-0066;13/10/2024;KL-010;PT Cahaya Baru;Denpasar;Bali;Eko Prasetyo;Software ERP;Software;3;46000000;138000000;Selesai;10;Q4
TRX-0067;02/11/2024;KL-005;PT Global Teknindo;Medan;Sumatera Utara;Dian Pertiwi;Jasa Konsultasi IT;Jasa;7;13000000;91000000;Selesai;11;Q4
TRX-0068;25/11/2024;KL-014;PT Mega Solusi;Jakarta;DKI Jakarta;Dian Pertiwi;Jasa Implementasi;Jasa;3;20000000;60000000;Selesai;11;Q4
TRX-0069;08/11/2024;KL-011;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Andi Wijaya;Software ERP;Software;1;20000000;20000000;Selesai;11;Q4
TRX-0070;08/12/2024;KL-003;PT Sinar Makmur;Bandung;Jawa Barat;Dian Pertiwi;Software CRM;Software;19;18000000;342000000;Selesai;12;Q4
TRX-0071;06/12/2024;KL-010;PT Cahaya Baru;Denpasar;Bali;Eko Prasetyo;Software CRM;Software;6;24000000;144000000;Selesai;12;Q4
TRX-0072;19/12/2024;KL-011;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Dian Pertiwi;Cloud Storage 1TB;Layanan Cloud;7;5000000;35000000;Dibatalkan;12;Q4
