Tanggal;ID Transaksi;ID Klien;ID Salesperson;Produk;Kategori Produk;Qty;Harga Satuan (Rp);Total Penjualan (Rp);Status Transaksi;Bulan;Kuartal;Nama PT;Kota;Provinsi;Industri;Status Klien;Status Lead;Pic Klien;No Telp;Email Klien;;Nama Sales;Tim;Jabatan;Status
25/05/2023;TRX-0014;KL-005;SP-006;Jasa Konsultasi IT;Jasa;4;8000000;32000000;Selesai;5;Q2;PT Global Teknindo;Medan;Sumatera Utara;Pendidikan;Aktif;Cold;Bapak Dodi;8509746306;cs@globalteknindo.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
24/05/2023;TRX-0015;KL-015;SP-006;Jasa Implementasi;Jasa;17;6000000;102000000;Dibatalkan;5;Q2;PT Harapan Bangsa;Palembang;Sumatera Selatan;Retail;Prospek;Hot;Ibu Rina;8512766609;cs@harapanbangsa.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
20/06/2023;TRX-0016;KL-004;SP-002;Jasa Konsultasi IT;Jasa;6;3000000;18000000;Selesai;6;Q2;PT Karya Utama;Semarang;Jawa Tengah;Retail;Aktif;Cold;Bapak Dodi;8147842055;cs@karyautama.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
16/06/2023;TRX-0017;KL-001;SP-001;Jasa Konsultasi IT;Jasa;10;10000000;100000000;Selesai;6;Q2;PT Maju Bersama;Surabaya;Jawa Timur;Manufaktur;Non-Aktif;Warm;Bapak Hendra;8115926217;cs@majubersama.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
03/06/2023;TRX-0018;KL-012;SP-004;Software CRM;Software;18;13000000;234000000;Dibatalkan;6;Q2;PT Anugerah Teknik;Surabaya;Jawa Timur;Pendidikan;Non-Aktif;Hot;Ibu Yanti;8727651733;cs@anugerahteknik.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
06/07/2023;TRX-0019;KL-005;SP-005;Cloud Storage 1TB;Layanan Cloud;7;5000000;35000000;Pending;7;Q3;PT Global Teknindo;Medan;Sumatera Utara;Pendidikan;Aktif;Cold;Bapak Dodi;8509746306;cs@globalteknindo.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
22/07/2023;TRX-0020;KL-011;SP-003;VPN Enterprise;Layanan Cloud;17;4000000;68000000;Selesai;7;Q3;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Konstruksi;Aktif;Cold;Bapak Hendra;8583852762;cs@mitraabadi.co.id;;Citra Dewi;Tim B;Sales Executive;Aktif
11/07/2023;TRX-0021;KL-001;SP-005;Server Rack;Hardware;19;10000000;190000000;Selesai;7;Q3;PT Maju Bersama;Surabaya;Jawa Timur;Manufaktur;Non-Aktif;Warm;Bapak Hendra;8115926217;cs@majubersama.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
03/08/2023;TRX-0022;KL-015;SP-001;Jasa Konsultasi IT;Jasa;3;11000000;33000000;Selesai;8;Q3;PT Harapan Bangsa;Palembang;Sumatera Selatan;Retail;Prospek;Hot;Ibu Rina;8512766609;cs@harapanbangsa.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
18/08/2023;TRX-0023;KL-003;SP-006;VPN Enterprise;Layanan Cloud;8;2000000;16000000;Selesai;8;Q3;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
22/08/2023;TRX-0024;KL-007;SP-003;Cloud Storage 1TB;Layanan Cloud;14;2000000;28000000;Selesai;8;Q3;PT Delta Solusi;Surabaya;Jawa Timur;Perbankan;Aktif;Cold;Bapak Dodi;8242784194;cs@deltasolusi.co.id;;Citra Dewi;Tim B;Sales Executive;Aktif
13/09/2023;TRX-0025;KL-012;SP-003;Software CRM;Software;8;17000000;136000000;Selesai;9;Q3;PT Anugerah Teknik;Surabaya;Jawa Timur;Pendidikan;Non-Aktif;Hot;Ibu Yanti;8727651733;cs@anugerahteknik.co.id;;Citra Dewi;Tim B;Sales Executive;Aktif
14/09/2023;TRX-0026;KL-003;SP-003;VPN Enterprise;Layanan Cloud;8;2000000;16000000;Selesai;9;Q3;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id;;Citra Dewi;Tim B;Sales Executive;Aktif
21/09/2023;TRX-0027;KL-009;SP-001;Software CRM;Software;8;15000000;120000000;Selesai;9;Q3;PT Indo Perkasa;Jakarta;DKI Jakarta;Manufaktur;Prospek;Hot;Ibu Rina;8243851904;cs@indoperkasa.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
28/10/2023;TRX-0028;KL-007;SP-001;Laptop Bisnis;Hardware;13;59000000;767000000;Selesai;10;Q4;PT Delta Solusi;Surabaya;Jawa Timur;Perbankan;Aktif;Cold;Bapak Dodi;8242784194;cs@deltasolusi.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
14/10/2023;TRX-0029;KL-012;SP-006;VPN Enterprise;Layanan Cloud;5;1000000;5000000;Dibatalkan;10;Q4;PT Anugerah Teknik;Surabaya;Jawa Timur;Pendidikan;Non-Aktif;Hot;Ibu Yanti;8727651733;cs@anugerahteknik.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
24/10/2023;TRX-0030;KL-009;SP-001;Jasa Konsultasi IT;Jasa;2;19000000;38000000;Selesai;10;Q4;PT Indo Perkasa;Jakarta;DKI Jakarta;Manufaktur;Prospek;Hot;Ibu Rina;8243851904;cs@indoperkasa.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
02/11/2023;TRX-0031;KL-009;SP-001;Laptop Bisnis;Hardware;3;18000000;54000000;Pending;11;Q4;PT Indo Perkasa;Jakarta;DKI Jakarta;Manufaktur;Prospek;Hot;Ibu Rina;8243851904;cs@indoperkasa.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
04/11/2023;TRX-0032;KL-015;SP-005;Server Rack;Hardware;19;15000000;285000000;Pending;11;Q4;PT Harapan Bangsa;Palembang;Sumatera Selatan;Retail;Prospek;Hot;Ibu Rina;8512766609;cs@harapanbangsa.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
22/11/2023;TRX-0033;KL-010;SP-005;Jasa Konsultasi IT;Jasa;9;10000000;90000000;Pending;11;Q4;PT Cahaya Baru;Denpasar;Bali;Konstruksi;Aktif;Cold;Bapak Dodi;8928988255;cs@cahayabaru.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
05/12/2023;TRX-0034;KL-011;SP-006;Jasa Implementasi;Jasa;15;3000000;45000000;Dibatalkan;12;Q4;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Konstruksi;Aktif;Cold;Bapak Hendra;8583852762;cs@mitraabadi.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
19/12/2023;TRX-0035;KL-002;SP-001;Server Rack;Hardware;17;26000000;442000000;Selesai;12;Q4;PT Nusantara Jaya;Jakarta;DKI Jakarta;Konstruksi;Non-Aktif;Warm;Bapak Dodi;8801660785;cs@nusantarajaya.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
12/12/2023;TRX-0036;KL-005;SP-002;VPN Enterprise;Layanan Cloud;18;9000000;162000000;Selesai;12;Q4;PT Global Teknindo;Medan;Sumatera Utara;Pendidikan;Aktif;Cold;Bapak Dodi;8509746306;cs@globalteknindo.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
22/01/2024;TRX-0037;KL-014;SP-005;Jasa Implementasi;Jasa;4;6000000;24000000;Dibatalkan;1;Q1;PT Mega Solusi;Jakarta;DKI Jakarta;Konstruksi;Aktif;Hot;Ibu Sarah;8423372648;cs@megasolusi.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
05/01/2024;TRX-0038;KL-005;SP-003;Server Rack;Hardware;11;43000000;473000000;Selesai;1;Q1;PT Global Teknindo;Medan;Sumatera Utara;Pendidikan;Aktif;Cold;Bapak Dodi;8509746306;cs@globalteknindo.co.id;;Citra Dewi;Tim B;Sales Executive;Aktif
28/01/2024;TRX-0039;KL-001;SP-001;Cloud Storage 1TB;Layanan Cloud;9;3000000;27000000;Selesai;1;Q1;PT Maju Bersama;Surabaya;Jawa Timur;Manufaktur;Non-Aktif;Warm;Bapak Hendra;8115926217;cs@majubersama.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
06/02/2024;TRX-0040;KL-012;SP-004;Cloud Storage 1TB;Layanan Cloud;18;3000000;54000000;Dibatalkan;2;Q1;PT Anugerah Teknik;Surabaya;Jawa Timur;Pendidikan;Non-Aktif;Hot;Ibu Yanti;8727651733;cs@anugerahteknik.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
02/02/2024;TRX-0041;KL-014;SP-003;Laptop Bisnis;Hardware;14;15000000;210000000;Selesai;2;Q1;PT Mega Solusi;Jakarta;DKI Jakarta;Konstruksi;Aktif;Hot;Ibu Sarah;8423372648;cs@megasolusi.co.id;;Citra Dewi;Tim B;Sales Executive;Aktif
12/02/2024;TRX-0042;KL-004;SP-006;Server Rack;Hardware;4;62000000;248000000;Selesai;2;Q1;PT Karya Utama;Semarang;Jawa Tengah;Retail;Aktif;Cold;Bapak Dodi;8147842055;cs@karyautama.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
28/03/2024;TRX-0043;KL-003;SP-002;Cloud Storage 1TB;Layanan Cloud;1;4000000;4000000;Selesai;3;Q1;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
06/03/2024;TRX-0044;KL-013;SP-006;Software CRM;Software;13;7000000;91000000;Pending;3;Q1;PT Sumber Rezeki;Bandung;Jawa Barat;Kesehatan;Prospek;Hot;Ibu Rina;8543316015;cs@sumberrezeki.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
12/03/2024;TRX-0045;KL-005;SP-002;Server Rack;Hardware;1;34000000;34000000;Selesai;3;Q1;PT Global Teknindo;Medan;Sumatera Utara;Pendidikan;Aktif;Cold;Bapak Dodi;8509746306;cs@globalteknindo.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
28/04/2024;TRX-0046;KL-002;SP-003;Jasa Konsultasi IT;Jasa;17;13000000;221000000;Selesai;4;Q2;PT Nusantara Jaya;Jakarta;DKI Jakarta;Konstruksi;Non-Aktif;Warm;Bapak Dodi;8801660785;cs@nusantarajaya.co.id;;Citra Dewi;Tim B;Sales Executive;Aktif
09/04/2024;TRX-0047;KL-003;SP-005;Jasa Implementasi;Jasa;2;14000000;28000000;Pending;4;Q2;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
20/04/2024;TRX-0048;KL-009;SP-001;Cloud Storage 1TB;Layanan Cloud;19;7000000;133000000;Selesai;4;Q2;PT Indo Perkasa;Jakarta;DKI Jakarta;Manufaktur;Prospek;Hot;Ibu Rina;8243851904;cs@indoperkasa.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
17/05/2024;TRX-0049;KL-015;SP-005;Server Rack;Hardware;12;18000000;216000000;Dibatalkan;5;Q2;PT Harapan Bangsa;Palembang;Sumatera Selatan;Retail;Prospek;Hot;Ibu Rina;8512766609;cs@harapanbangsa.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
11/05/2024;TRX-0050;KL-011;SP-001;Jasa Implementasi;Jasa;17;13000000;221000000;Selesai;5;Q2;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Konstruksi;Aktif;Cold;Bapak Hendra;8583852762;cs@mitraabadi.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
18/05/2024;TRX-0051;KL-003;SP-002;Cloud Storage 1TB;Layanan Cloud;13;10000000;130000000;Selesai;5;Q2;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
13/06/2024;TRX-0052;KL-009;SP-001;Jasa Implementasi;Jasa;10;21000000;210000000;Selesai;6;Q2;PT Indo Perkasa;Jakarta;DKI Jakarta;Manufaktur;Prospek;Hot;Ibu Rina;8243851904;cs@indoperkasa.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
15/06/2024;TRX-0053;KL-008;SP-004;Server Rack;Hardware;17;31000000;527000000;Selesai;6;Q2;PT Cipta Mandiri;Yogyakarta;DI Yogyakarta;Teknologi;Aktif;Warm;Bapak Hendra;8502914096;cs@ciamandiri.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
17/06/2024;TRX-0054;KL-011;SP-006;Jasa Konsultasi IT;Jasa;3;10000000;30000000;Selesai;6;Q2;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Konstruksi;Aktif;Cold;Bapak Hendra;8583852762;cs@mitraabadi.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
01/07/2024;TRX-0055;KL-001;SP-002;VPN Enterprise;Layanan Cloud;20;10000000;200000000;Selesai;7;Q3;PT Maju Bersama;Surabaya;Jawa Timur;Manufaktur;Non-Aktif;Warm;Bapak Hendra;8115926217;cs@majubersama.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
23/07/2024;TRX-0056;KL-012;SP-004;VPN Enterprise;Layanan Cloud;13;1000000;13000000;Selesai;7;Q3;PT Anugerah Teknik;Surabaya;Jawa Timur;Pendidikan;Non-Aktif;Hot;Ibu Yanti;8727651733;cs@anugerahteknik.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
25/07/2024;TRX-0057;KL-007;SP-002;Laptop Bisnis;Hardware;17;16000000;272000000;Selesai;7;Q3;PT Delta Solusi;Surabaya;Jawa Timur;Perbankan;Aktif;Cold;Bapak Dodi;8242784194;cs@deltasolusi.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
15/08/2024;TRX-0058;KL-003;SP-004;Jasa Konsultasi IT;Jasa;15;16000000;240000000;Pending;8;Q3;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
06/08/2024;TRX-0059;KL-012;SP-004;VPN Enterprise;Layanan Cloud;9;8000000;72000000;Selesai;8;Q3;PT Anugerah Teknik;Surabaya;Jawa Timur;Pendidikan;Non-Aktif;Hot;Ibu Yanti;8727651733;cs@anugerahteknik.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
09/08/2024;TRX-0060;KL-008;SP-001;Jasa Implementasi;Jasa;8;13000000;104000000;Selesai;8;Q3;PT Cipta Mandiri;Yogyakarta;DI Yogyakarta;Teknologi;Aktif;Warm;Bapak Hendra;8502914096;cs@ciamandiri.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
05/09/2024;TRX-0061;KL-003;SP-002;Cloud Storage 1TB;Layanan Cloud;5;7000000;35000000;Pending;9;Q3;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id;;Budi Santoso;Tim A;Sales Executive;Aktif
11/09/2024;TRX-0062;KL-009;SP-004;Cloud Storage 1TB;Layanan Cloud;2;10000000;20000000;Selesai;9;Q3;PT Indo Perkasa;Jakarta;DKI Jakarta;Manufaktur;Prospek;Hot;Ibu Rina;8243851904;cs@indoperkasa.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
28/09/2024;TRX-0063;KL-015;SP-005;Cloud Storage 1TB;Layanan Cloud;16;7000000;112000000;Pending;9;Q3;PT Harapan Bangsa;Palembang;Sumatera Selatan;Retail;Prospek;Hot;Ibu Rina;8512766609;cs@harapanbangsa.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
18/10/2024;TRX-0064;KL-012;SP-006;Server Rack;Hardware;16;44000000;704000000;Selesai;10;Q4;PT Anugerah Teknik;Surabaya;Jawa Timur;Pendidikan;Non-Aktif;Hot;Ibu Yanti;8727651733;cs@anugerahteknik.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
13/10/2024;TRX-0065;KL-006;SP-006;Cloud Storage 1TB;Layanan Cloud;6;9000000;54000000;Selesai;10;Q4;PT Prima Sejahtera;Makassar;Sulawesi Selatan;Pendidikan;Aktif;Cold;Bapak Dodi;8590518715;cs@primasejahtera.co.id;;Fitri Handayani;Tim C;Sales Executive;Aktif
13/10/2024;TRX-0066;KL-010;SP-005;Software ERP;Software;3;46000000;138000000;Selesai;10;Q4;PT Cahaya Baru;Denpasar;Bali;Konstruksi;Aktif;Cold;Bapak Dodi;8928988255;cs@cahayabaru.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
02/11/2024;TRX-0067;KL-005;SP-004;Jasa Konsultasi IT;Jasa;7;13000000;91000000;Selesai;11;Q4;PT Global Teknindo;Medan;Sumatera Utara;Pendidikan;Aktif;Cold;Bapak Dodi;8509746306;cs@globalteknindo.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
25/11/2024;TRX-0068;KL-014;SP-004;Jasa Implementasi;Jasa;3;20000000;60000000;Selesai;11;Q4;PT Mega Solusi;Jakarta;DKI Jakarta;Konstruksi;Aktif;Hot;Ibu Sarah;8423372648;cs@megasolusi.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
08/11/2024;TRX-0069;KL-011;SP-001;Software ERP;Software;1;20000000;20000000;Selesai;11;Q4;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Konstruksi;Aktif;Cold;Bapak Hendra;8583852762;cs@mitraabadi.co.id;;Andi Wijaya;Tim A;Senior Sales;Aktif
08/12/2024;TRX-0070;KL-003;SP-004;Software CRM;Software;19;18000000;342000000;Selesai;12;Q4;PT Sinar Makmur;Bandung;Jawa Barat;Perbankan;Aktif;Cold;Ibu Sarah;8451943376;cs@sinarmakmur.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
06/12/2024;TRX-0071;KL-010;SP-005;Software CRM;Software;6;24000000;144000000;Selesai;12;Q4;PT Cahaya Baru;Denpasar;Bali;Konstruksi;Aktif;Cold;Bapak Dodi;8928988255;cs@cahayabaru.co.id;;Eko Prasetyo;Tim C;Senior Sales;Aktif
19/12/2024;TRX-0072;KL-011;SP-004;Cloud Storage 1TB;Layanan Cloud;7;5000000;35000000;Dibatalkan;12;Q4;PT Mitra Abadi;Balikpapan;Kalimantan Timur;Konstruksi;Aktif;Cold;Bapak Hendra;8583852762;cs@mitraabadi.co.id;;Dian Pertiwi;Tim B;Junior Sales;Aktif
